Name,title,,,,,,,,namespace,wiki,url,edit_count,characters_added,references_added,new,deleted,pageviews,pageviews_link
Anne Bradstreet   ,Anne,Bradstreet,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anne_Bradstreet,3,491,391,FALSE,FALSE,20291,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anne_Bradstreet
Anne Desjardins   ,Anne,Desjardins,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anne_Desjardins,4,3425,3425,TRUE,FALSE,130,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anne_Desjardins
Anne Griffiths   ,Anne,Griffiths,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anne_Griffiths,1,758,758,FALSE,FALSE,334,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anne_Griffiths
Anne Hathaway (wife of Shakespeare),Anne,Hathaway,(wife,of,Shakespeare),,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anne_Hathaway_(wife_of_Shakespeare),1,0,-14,FALSE,FALSE,404705,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anne_Hathaway_(wife_of_Shakespeare)
Annie Bell Pettway  ,Annie,Bell,Pettway,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Annie_Bell_Pettway,5,1463,1455,TRUE,FALSE,85,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Annie_Bell_Pettway
Annie Bendolph   ,Annie,Bendolph,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Annie_Bendolph,2,64,64,FALSE,FALSE,207,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Annie_Bendolph
Annie E. Pettway  ,Annie,E.,Pettway,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Annie_E._Pettway,5,1509,1501,TRUE,FALSE,69,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Annie_E._Pettway
Antonia Dickson   ,Antonia,Dickson,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Antonia_Dickson,6,5602,5589,TRUE,FALSE,199,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Antonia_Dickson
Antonia Pantoja   ,Antonia,Pantoja,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Antonia_Pantoja,3,130,126,FALSE,FALSE,2224,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Antonia_Pantoja
Anuja Chandramouli   ,Anuja,Chandramouli,,,,,,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Anuja_Chandramouli,1,188,188,FALSE,FALSE,2099,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-10-06&end=2099-01-01&project=en.wikipedia.org&pages=Anuja_Chandramouli
