Bharti Kher   ,,0,en.wikipedia.org,1,462,462,FALSE,FALSE,14182
Bichitra    ,,0,en.wikipedia.org,1,29,29,TRUE,FALSE,14
Billie Pierce   ,,0,en.wikipedia.org,1,3279,3279,FALSE,FALSE,2513
Bimbo Akintola   ,,0,en.wikipedia.org,1,2,2,FALSE,FALSE,1419
Bisco Hatori   ,,0,en.wikipedia.org,1,56,56,FALSE,FALSE,1301
Blanche Grant   ,,0,en.wikipedia.org,4,692,644,FALSE,FALSE,21
Blanche McVeigh   ,,0,en.wikipedia.org,2,394,392,FALSE,FALSE,69
Blanka Zizka   ,,0,en.wikipedia.org,1,1101,1101,FALSE,FALSE,39
Blondell Cummings   ,,0,en.wikipedia.org,1,13,13,FALSE,FALSE,440
Bobs Cogill Haworth  ,,0,en.wikipedia.org,1,215,215,FALSE,FALSE,44
Bonnie Bassler   ,,0,en.wikipedia.org,1,53,53,FALSE,FALSE,10759
Bonnie Bronson   ,,0,en.wikipedia.org,2,81,81,FALSE,FALSE,56
Bonnie Cashin   ,,0,en.wikipedia.org,3,1251,1251,FALSE,FALSE,534
Bonnie Sherk   ,,0,en.wikipedia.org,1,537,537,FALSE,FALSE,124
Brandon Teena   ,,0,en.wikipedia.org,2,438,438,FALSE,FALSE,778695
Brenda Laurel   ,,0,en.wikipedia.org,1,1177,1177,FALSE,FALSE,6895
