item,itemLabel,country_of_citizenshipLabel,linkcount,date_of_birth,place_of_birth,place_of_birthLabel,field_of_workLabel,date_of_death
http://www.wikidata.org/entity/Q852557,Hollie Stevens,United States of America,13,1982-01-04T00:00:00Z,http://www.wikidata.org/entity/Q41819,Kansas City,,2012-07-03T00:00:00Z
http://www.wikidata.org/entity/Q481952,Amy Sillman,United States of America,3,1954-01-01T00:00:00Z,http://www.wikidata.org/entity/Q12439,Detroit,,
http://www.wikidata.org/entity/Q537578,Audrey Flack,United States of America,9,1931-05-30T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,,
http://www.wikidata.org/entity/Q767139,Rosson Crow,United States of America,2,1982-01-01T00:00:00Z,http://www.wikidata.org/entity/Q16557,Dallas,,
http://www.wikidata.org/entity/Q538986,Lynda Benglis,United States of America,10,1941-10-25T00:00:00Z,http://www.wikidata.org/entity/Q864106,Lake Charles,,
http://www.wikidata.org/entity/Q540665,Françoise Gilot,United States of America,15,1921-11-26T00:00:00Z,http://www.wikidata.org/entity/Q48958,Neuilly-sur-Seine,,
http://www.wikidata.org/entity/Q518922,Doris Lee,United States of America,5,1905-02-01T00:00:00Z,http://www.wikidata.org/entity/Q576814,Aledo,,1983-06-16T00:00:00Z
http://www.wikidata.org/entity/Q1331328,Elizabeth Taylor,United States of America,3,1856-01-08T00:00:00Z,http://www.wikidata.org/entity/Q16567,Columbus,,1932-01-01T00:00:00Z
http://www.wikidata.org/entity/Q513948,Karen Kilimnik,United States of America,2,1955-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1345,Philadelphia,,
http://www.wikidata.org/entity/Q807685,Barbara Weil,United States of America,3,1933-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1297,Chicago,,2018-01-19T00:00:00Z
http://www.wikidata.org/entity/Q518148,Ida Kohlmeyer,United States of America,5,1912-11-03T00:00:00Z,http://www.wikidata.org/entity/Q34404,New Orleans,,1997-01-29T00:00:00Z
http://www.wikidata.org/entity/Q558797,Ann Twardowicz,United States of America,2,1929-01-01T00:00:00Z,http://www.wikidata.org/entity/Q16567,Columbus,,1973-01-01T00:00:00Z
