Name,,List
Angela Ruggiero,Angela Ruggiero,Chronological list of women's Grand Slam tennis champions
Angela Stanford,Angela Stanford,List of female golfers
Angela Voigt,Angela Voigt,List of female kickboxers
Angelica Rozeanu,Angelica Rozeanu,List of Women's National Basketball Association players
Angelina Williams,Angelina Williams,List of sportswomen
Angelina Wolvert,Angelina Wolvert,List of female golfers
Angelique Kerber,Angelique Kerber,List of Olympic medalists in athletics (women)
Angella Taylor-Issajenko,Angella Taylor-Issajenko,List of sportswomen
Angelle Sampey,Angelle Sampey,List of Women's National Basketball Association players
Angie Bjorklund,Angie Bjorklund,List of Women's National Basketball Association players
Angie Braziel,Angie Braziel,List of sportswomen
Angie Hamblin,Angie Hamblin,Chronological list of women's Grand Slam tennis champions
Angie Ponce,Angie Ponce,List of Olympic medalists in athletics (women)
Angie Potthoff,Angie Potthoff,List of sportswomen
Anișoara Cușmir-Stanciu,Anișoara Cușmir-Stanciu,List of Women's National Basketball Association players
Ania Fucz,Ania Fucz,List of Women's National Basketball Association players
Anita Amankwa,Anita Amankwa,List of Women's National Basketball Association players
Anita Lizana,Anita Lizana,List of FIFA Women's World Cup goalscorers
Anita Márton,Anita Márton,List of Women's National Basketball Association players
Anita Marks,Anita Marks,List of Olympic medalists in athletics (women)
Anita Maxwell,Anita Maxwell,List of female kickboxers
Anita Rapp,Anita Rapp,List of FIFA Women's World Cup goalscorers
Anita Włodarczyk,Anita Włodarczyk,Chronological list of women's Grand Slam tennis champions
Anja Mittag,Anja Mittag,List of Olympic medalists in athletics (women)
Anja Monke,Anja Monke,List of sportswomen
Anja Rücker,Anja Rücker,List of Women's National Basketball Association players
Anke Behmer,Anke Behmer,List of FIFA Women's World Cup goalscorers
Ann Bancroft,Ann Bancroft,List of Olympic medalists in athletics (women)
Ann Calvello,Ann Calvello,List of FIFA Women's World Cup goalscorers
Ann Gregory,Ann Gregory,List of female golfers
Ann Haydon,Ann Haydon,List of Olympic medalists in athletics (women)
Ann Kristin Aarønes,Ann Kristin Aarønes,List of Olympic medalists in athletics (women)
Ann Orrison,Ann Orrison,List of sportswomen
Ann Packer,Ann Packer,List of sportswomen
Ann Penelope Marston,Ann Penelope Marston,List of female golfers
Ann Strother,Ann Strother,Chronological list of women's Grand Slam tennis champions
Ann Wauters,Ann Wauters,List of FIFA Women's World Cup goalscorers
Ann-Britt Leyman,Ann-Britt Leyman,List of sportswomen
Anna Bogomazova,Anna Bogomazova,List of Olympic medalists in athletics (women)
Anna Chicherova,Anna Chicherova,List of sportswomen
Anna Cruz,Anna Cruz,List of Women's National Basketball Association players
Anna DeForge,Anna DeForge,List of Women's National Basketball Association players
Anna Gasser,Anna Gasser,List of Olympic medalists in athletics (women)
Anna Montanana,Anna Montanana,List of female kickboxers
Anna Nordqvist,Anna Nordqvist,List of Olympic medalists in athletics (women)
